dataset_id	dataset_family	benchmark_suite	domain	modality	task_definition	native_binary	binary_label_semantics	classification_or_relation	shift_type	shift_semantics	shift_variable	official_split	split_version	group_columns	timestamp_column	left_entity_column	right_entity_column	train_n	validation_n	target_n	target_positive_n	target_negative_n	positive_rate	n_groups	min_group_n	median_group_n	left_entity_n	right_entity_n	negative_sampling_protocol	official_metric	probability_or_score_available	supported_model_families	official_paper	official_repository	official_loader	release	package_version	commit	license	access_requirement	download_size	disk_size	estimated_cpu_hours	estimated_gpu_hours	known_leakage_or_version_issue	ethical_or_sensitive_attribute_issue	redundancy_family	hard_gate_status	admission_score	recommended_role	exclusion_reason	evidence_source	verification_status
tableshift_voting	TableShift	TableShift	civic	tabular	PENDING_OFFICIAL_TASK_DEFINITION	UNASSESSED	UNRESOLVED	UNASSESSED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNASSESSED_G1_G10	UNSCORED	UNASSESSED		https://github.com/mlfoundations/shift	PENDING_OFFICIAL_VERIFICATION
tableshift_assistments	TableShift	TableShift	education	tabular	PENDING_OFFICIAL_TASK_DEFINITION	UNASSESSED	UNRESOLVED	UNASSESSED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNASSESSED_G1_G10	UNSCORED	UNASSESSED		https://github.com/mlfoundations/shift	PENDING_OFFICIAL_VERIFICATION
tableshift_childhood_lead	TableShift	TableShift	public health	tabular	PENDING_OFFICIAL_TASK_DEFINITION	UNASSESSED	UNRESOLVED	UNASSESSED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNASSESSED_G1_G10	UNSCORED	UNASSESSED		https://github.com/mlfoundations/shift	PENDING_OFFICIAL_VERIFICATION
tableshift_college_scorecard	TableShift	TableShift	education	tabular	PENDING_OFFICIAL_TASK_DEFINITION	UNASSESSED	UNRESOLVED	UNASSESSED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNASSESSED_G1_G10	UNSCORED	UNASSESSED		https://github.com/mlfoundations/shift	PENDING_OFFICIAL_VERIFICATION
tableshift_diabetes	TableShift	TableShift	health	tabular	PENDING_OFFICIAL_TASK_DEFINITION	UNASSESSED	UNRESOLVED	UNASSESSED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNASSESSED_G1_G10	UNSCORED	UNASSESSED		https://github.com/mlfoundations/shift	PENDING_OFFICIAL_VERIFICATION
tableshift_food_stamps	TableShift	TableShift	public policy	tabular	PENDING_OFFICIAL_TASK_DEFINITION	UNASSESSED	UNRESOLVED	UNASSESSED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNASSESSED_G1_G10	UNSCORED	UNASSESSED		https://github.com/mlfoundations/shift	PENDING_OFFICIAL_VERIFICATION
tableshift_heloc	TableShift	TableShift	finance	tabular	PENDING_OFFICIAL_TASK_DEFINITION	UNASSESSED	UNRESOLVED	UNASSESSED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNASSESSED_G1_G10	UNSCORED	UNASSESSED		https://github.com/mlfoundations/shift	PENDING_OFFICIAL_VERIFICATION
tableshift_hospital_readmission	TableShift	TableShift	health	tabular	PENDING_OFFICIAL_TASK_DEFINITION	UNASSESSED	UNRESOLVED	UNASSESSED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNASSESSED_G1_G10	UNSCORED	UNASSESSED		https://github.com/mlfoundations/shift	PENDING_OFFICIAL_VERIFICATION
tableshift_hypertension	TableShift	TableShift	health	tabular	PENDING_OFFICIAL_TASK_DEFINITION	UNASSESSED	UNRESOLVED	UNASSESSED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNASSESSED_G1_G10	UNSCORED	UNASSESSED		https://github.com/mlfoundations/shift	PENDING_OFFICIAL_VERIFICATION
tableshift_icu_los	TableShift	TableShift	critical care	tabular	PENDING_OFFICIAL_TASK_DEFINITION	UNASSESSED	UNRESOLVED	UNASSESSED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNASSESSED_G1_G10	UNSCORED	UNASSESSED		https://github.com/mlfoundations/shift	PENDING_OFFICIAL_VERIFICATION
tableshift_icu_mortality	TableShift	TableShift	critical care	tabular	PENDING_OFFICIAL_TASK_DEFINITION	UNASSESSED	UNRESOLVED	UNASSESSED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNASSESSED_G1_G10	UNSCORED	UNASSESSED		https://github.com/mlfoundations/shift	PENDING_OFFICIAL_VERIFICATION
tableshift_income	TableShift	TableShift	socioeconomic	tabular	PENDING_OFFICIAL_TASK_DEFINITION	UNASSESSED	UNRESOLVED	UNASSESSED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNASSESSED_G1_G10	UNSCORED	UNASSESSED		https://github.com/mlfoundations/shift	PENDING_OFFICIAL_VERIFICATION
tableshift_public_health_insurance	TableShift	TableShift	public policy	tabular	PENDING_OFFICIAL_TASK_DEFINITION	UNASSESSED	UNRESOLVED	UNASSESSED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNASSESSED_G1_G10	UNSCORED	UNASSESSED		https://github.com/mlfoundations/shift	PENDING_OFFICIAL_VERIFICATION
tableshift_sepsis	TableShift	TableShift	critical care	tabular	PENDING_OFFICIAL_TASK_DEFINITION	UNASSESSED	UNRESOLVED	UNASSESSED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNASSESSED_G1_G10	UNSCORED	UNASSESSED		https://github.com/mlfoundations/shift	PENDING_OFFICIAL_VERIFICATION
tableshift_unemployment	TableShift	TableShift	labor	tabular	PENDING_OFFICIAL_TASK_DEFINITION	UNASSESSED	UNRESOLVED	UNASSESSED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNASSESSED_G1_G10	UNSCORED	UNASSESSED		https://github.com/mlfoundations/shift	PENDING_OFFICIAL_VERIFICATION
wilds_civilcomments	WILDS	WILDS	text moderation	text	PENDING_OFFICIAL_TASK_DEFINITION	UNASSESSED	UNRESOLVED	UNASSESSED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNASSESSED_G1_G10	UNSCORED	UNASSESSED		https://wilds.stanford.edu/	PENDING_OFFICIAL_VERIFICATION
wilds_camelyon17	WILDS	WILDS	histopathology	image	PENDING_OFFICIAL_TASK_DEFINITION	UNASSESSED	UNRESOLVED	UNASSESSED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNASSESSED_G1_G10	UNSCORED	UNASSESSED		https://wilds.stanford.edu/	PENDING_OFFICIAL_VERIFICATION
wildtime_yearbook	Wild-Time	Wild-Time	portrait image	image	PENDING_OFFICIAL_TASK_DEFINITION	UNASSESSED	UNRESOLVED	UNASSESSED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNASSESSED_G1_G10	UNSCORED	UNASSESSED		https://github.com/huaxiuyao/Wild-Time	PENDING_OFFICIAL_VERIFICATION
wildtime_mimic_mortality	Wild-Time	Wild-Time	clinical records	tabular	PENDING_OFFICIAL_TASK_DEFINITION	UNASSESSED	UNRESOLVED	UNASSESSED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNASSESSED_G1_G10	UNSCORED	UNASSESSED		https://github.com/huaxiuyao/Wild-Time	PENDING_OFFICIAL_VERIFICATION
